,Player,Min,Team,PTS,REB,AST
0,Luka Dončić,39.6,LAL,36.0,10.7,9.7
1,Devin Booker,38.7,PHX,33.6,4.0,7.8
2,Donovan Mitchell,33.1,CLE,33.3,2.8,5.3
3,Shai Gilgeous-Alexander,32.3,OKC,31.4,5.4,6.8
4,Tyrese Maxey,41.1,PHI,31.4,5.8,9.0
5,Giannis Antetokounmpo,30.2,MIL,29.5,10.0,5.8
6,Jaylen Brown,29.8,BOS,29.0,3.4,4.8
7,Lauri Markkanen,36.4,UTA,27.8,5.8,1.4
8,Julius Randle,34.8,MIN,27.6,7.0,5.4
9,Kawhi Leonard,34.9,LAC,27.3,6.3,3.5
10,Jalen Brunson,33.5,NYK,27.0,3.8,6.4
11,Nikola Jokić,34.7,DEN,26.8,13.4,11.8
12,Cade Cunningham,35.5,DET,25.4,5.0,10.0
13,Pascal Siakam,35.7,IND,25.4,6.8,5.8
14,Deni Avdija,34.4,POR,25.2,6.6,4.8
15,Paolo Banchero,33.7,ORL,25.2,9.8,6.6
16,Austin Reaves,37.8,LAL,25.0,3.0,10.3
17,Michael Porter Jr.,31.9,BKN,24.8,10.3,2.3
18,Zach LaVine,36.8,SAC,24.8,4.0,3.0
19,Stephen Curry,30.8,GSW,24.5,3.0,4.3
20,Josh Giddey,35.6,CHI,24.4,11.4,10.0
21,Keyonte George,34.1,UTA,24.2,3.8,6.8
22,James Harden,35.5,LAC,23.6,5.6,8.4
23,Miles Bridges,34.2,CHA,22.8,5.8,2.8
24,DeMar DeRozan,36.2,SAC,22.2,3.2,2.6
25,Jamal Murray,32.5,DEN,22.2,5.8,4.4
26,Jalen Johnson,32.4,ATL,22.0,9.0,5.2
27,Norman Powell,29.4,MIA,22.0,2.0,1.0
28,Victor Wembanyama,34.8,SAS,22.0,12.8,3.8
29,Joel Embiid,24.5,PHI,21.7,6.3,3.3
30,Franz Wagner,33.8,ORL,21.6,5.4,3.4
31,Kevin Durant,32.8,HOU,21.6,5.0,3.0
32,Alex Sarr,29.3,WAS,21.0,8.6,3.6
33,RJ Barrett,33.6,TOR,21.0,4.2,3.6
34,Jaden McDaniels,33.8,MIN,20.8,4.2,2.8
35,Amen Thompson,35.1,HOU,20.4,7.4,6.8
36,Brandon Ingram,32.9,TOR,20.4,5.6,4.4
37,Alperen Sengun,34.1,HOU,20.2,10.2,7.4
38,Bam Adebayo,28.4,MIA,20.2,7.0,2.8
39,Evan Mobley,33.7,CLE,20.0,8.6,4.0
40,Jarrett Allen,26.6,CLE,20.0,7.7,1.3
41,Kelly Oubre Jr.,37.6,PHI,20.0,5.8,1.0
42,Zion Williamson,29.0,NOP,20.0,5.0,3.7
43,Andrew Wiggins,33.1,MIA,19.8,4.6,2.4
44,Jalen Duren,30.3,DET,19.6,12.2,2.4
45,Karl-Anthony Towns,33.0,NYK,19.6,12.0,3.8
46,Quentin Grimes,33.0,PHI,19.6,4.2,5.2
47,Stephon Castle,33.5,SAS,19.6,5.8,5.6
48,OG Anunoby,33.7,NYK,19.4,5.2,3.0
49,Deandre Ayton,28.9,LAL,19.3,7.5,1.3
50,De'Andre Hunter,29.8,CLE,19.0,6.0,3.3
51,Scottie Barnes,31.4,TOR,19.0,6.6,4.6
52,Jerami Grant,29.9,POR,18.8,3.8,2.6
53,Ryan Rollins,31.1,MIL,18.8,2.8,6.4
54,Shaedon Sharpe,25.6,POR,18.8,5.6,1.2
55,Jaime Jaquez Jr.,29.9,MIA,18.4,5.8,4.4
56,Jrue Holiday,33.8,POR,18.4,4.4,7.2
57,Nickeil Alexander-Walker,32.1,ATL,18.4,2.6,3.2
58,Nikola Vučević,32.1,CHI,18.4,12.4,4.4
59,LaMelo Ball,32.7,CHA,18.3,7.3,10.0
60,Donte DiVincenzo,32.3,MIN,18.0,4.4,4.6
61,Russell Westbrook,33.1,SAC,17.8,8.8,6.8
62,Ja Morant,32.8,MEM,17.8,4.8,8.0
63,Ayo Dosunmu,25.8,CHI,17.3,3.0,4.0
64,Isaiah Joe,24.5,OKC,17.3,3.5,1.0
65,Kristaps Porziņģis,25.5,ATL,17.2,6.0,3.6
66,Grayson Allen,35.9,PHX,16.8,3.8,4.6
67,Jake LaRavia,33.8,LAL,16.8,6.4,2.8
68,Rui Hachimura,35.7,LAL,16.8,4.0,1.6
69,Jaren Jackson Jr.,31.3,MEM,16.6,5.8,1.8
70,Jonathan Kuminga,30.4,GSW,16.6,6.4,2.4
71,Jimmy Butler III,29.3,GSW,16.5,6.3,4.3
72,Cam Thomas,27.1,BKN,16.4,1.2,2.0
73,Domantas Sabonis,35.1,SAC,16.3,14.8,5.0
74,Aaron Nesmith,32.6,IND,16.0,5.0,1.2
75,Aaron Wiggins,27.6,OKC,16.0,3.0,2.8
76,Jabari Smith Jr.,30.9,HOU,16.0,4.8,1.8
77,Jeremy Sochan,22.6,SAS,16.0,2.0,0.0
78,Matas Buzelis,31.4,CHI,16.0,4.6,1.4
79,Mikal Bridges,34.8,NYK,16.0,4.6,6.0
80,Nic Claxton,29.9,BKN,16.0,7.8,4.4
81,Tari Eason,26.0,HOU,15.8,5.0,2.4
82,Ajay Mitchell,27.1,OKC,15.4,2.8,3.4
83,Mark Williams,27.3,PHX,15.4,10.6,1.4
84,Jordan Poole,26.4,NOP,15.3,1.5,3.3
85,Aaron Gordon,29.6,DEN,15.2,6.0,1.8
86,Anthony Davis,22.3,DAL,15.0,7.5,1.5
87,Anthony Edwards,28.8,MIN,15.0,2.0,5.0
88,Malik Monk,26.2,SAC,15.0,2.3,2.3
89,Payton Pritchard,29.9,BOS,15.0,2.6,5.4
90,Trey Murphy III,34.5,NOP,15.0,5.8,3.2
91,Jeremiah Fears,25.6,NOP,14.8,3.4,4.2
92,P.J. Washington,35.3,DAL,14.8,9.6,2.8
93,Tobias Harris,27.9,DET,14.7,3.7,1.7
94,Collin Sexton,26.2,CHA,14.6,2.6,5.8
95,D'Angelo Russell,25.9,DAL,14.6,3.0,6.6
96,Dennis Schröder,32.8,SAC,14.6,4.6,6.6
97,Kon Knueppel,30.6,CHA,14.6,6.4,2.8
98,Kyshawn George,30.8,WAS,14.6,5.2,3.8
99,Keldon Johnson,25.0,SAS,14.2,3.6,1.0
100,Terance Mann,29.8,BKN,14.2,4.2,4.2
101,Dylan Harper,23.0,SAS,14.0,3.8,4.5
102,Kyle Kuzma,23.9,MIL,14.0,4.4,1.2
103,Will Richard,17.5,GSW,14.0,2.3,1.3
104,Anfernee Simons,25.6,BOS,13.8,1.2,1.6
